event_id,entity_id,resource_id,action_type,timestamp,action_hour,action_day_of_week,session_id,session_duration_seconds,actions_per_minute,action_sequence_entropy,geo_ip_country,geo_ip_change_flag
evt_js006_0000,ent_js006,res_hr,write,2025-09-25T09:01:47,9,Thursday,sess_js006_000,1070,0.42,0.87,US,false
evt_js006_0001,ent_js006,res_fin,write,2025-10-17T09:37:27,9,Friday,sess_js006_001,1234,0.27,0.76,US,false
evt_js006_0002,ent_js006,res_fin,read,2025-10-15T11:45:41,11,Wednesday,sess_js006_002,1009,0.33,0.56,US,false
evt_js006_0003,ent_js006,res_pay,login,2026-01-26T14:21:17,14,Monday,sess_js006_003,1525,0.3,1.0,US,false
evt_js006_0004,ent_js006,res_fin,write,2026-02-11T13:54:22,13,Wednesday,sess_js006_004,671,0.42,0.54,US,false
evt_js006_0005,ent_js006,res_fin,write,2025-12-01T09:35:18,9,Monday,sess_js006_005,1303,0.46,0.52,US,false
evt_js006_0006,ent_js006,res_pay,login,2026-02-18T08:42:14,8,Wednesday,sess_js006_006,1229,0.46,0.3,US,false
evt_js006_0007,ent_js006,res_hr,read,2025-12-26T15:40:53,15,Friday,sess_js006_007,913,0.26,0.87,US,false
evt_js006_0008,ent_js006,res_pay,read,2025-09-12T09:38:40,9,Friday,sess_js006_008,1334,0.25,1.0,US,false
evt_js006_0009,ent_js006,res_pay,login,2025-09-25T16:14:43,16,Thursday,sess_js006_009,873,0.22,1.0,US,false
evt_js006_0010,ent_js006,res_hr,login,2025-11-25T12:04:13,12,Tuesday,sess_js006_010,1435,0.42,0.62,US,false
evt_js006_0011,ent_js006,res_hr,write,2025-10-31T14:56:58,14,Friday,sess_js006_011,1000,0.24,0.66,US,false
evt_js006_0012,ent_js006,res_hr,login,2025-10-21T12:47:37,12,Tuesday,sess_js006_012,746,0.31,0.84,US,false
evt_js006_0013,ent_js006,res_pay,write,2025-10-31T09:48:03,9,Friday,sess_js006_013,1215,0.25,0.66,US,false
evt_js006_0014,ent_js006,res_fin,write,2025-10-06T09:24:24,9,Monday,sess_js006_014,826,0.28,0.63,US,false
evt_js006_0015,ent_js006,res_pay,login,2025-09-12T09:43:56,9,Friday,sess_js006_015,873,0.39,0.71,US,false
evt_js006_0016,ent_js006,res_fin,write,2025-11-14T10:29:00,10,Friday,sess_js006_016,1691,0.28,0.63,US,false
evt_js006_0017,ent_js006,res_pay,login,2025-10-29T09:55:40,9,Wednesday,sess_js006_017,975,0.38,0.99,US,false
evt_js006_0018,ent_js006,res_fin,login,2026-01-23T16:49:59,16,Friday,sess_js006_018,1094,0.3,0.74,US,false
evt_js006_0019,ent_js006,res_pay,write,2025-12-05T12:15:03,12,Friday,sess_js006_019,1126,0.22,0.97,US,false
evt_js006_0020,ent_js006,res_hr,read,2026-02-18T16:49:08,16,Wednesday,sess_js006_020,1339,0.36,0.89,US,false
evt_js006_0021,ent_js006,res_pay,read,2025-10-03T14:13:59,14,Friday,sess_js006_021,633,0.26,0.67,US,false
evt_js006_0022,ent_js006,res_fin,read,2025-09-17T13:28:57,13,Wednesday,sess_js006_022,952,0.27,0.73,US,false
evt_js006_0023,ent_js006,res_fin,login,2025-10-08T16:14:37,16,Wednesday,sess_js006_023,1125,0.39,0.81,US,false
evt_js006_0024,ent_js006,res_hr,login,2026-02-27T13:04:32,13,Friday,sess_js006_024,1137,0.26,1.0,US,false
evt_js006_0025,ent_js006,res_hr,login,2025-10-10T17:30:15,17,Friday,sess_js006_025,1221,0.26,0.42,US,false
evt_js006_0026,ent_js006,res_fin,write,2025-11-17T13:27:26,13,Monday,sess_js006_026,629,0.4,0.8,US,false
evt_js006_0027,ent_js006,res_pay,write,2026-02-20T14:46:21,14,Friday,sess_js006_027,1149,0.26,0.66,US,false
evt_js006_0028,ent_js006,res_fin,write,2026-01-30T14:11:17,14,Friday,sess_js006_028,509,0.22,0.83,US,false
evt_js006_0029,ent_js006,res_pay,login,2026-02-23T16:53:00,16,Monday,sess_js006_029,1776,0.45,0.66,US,false
